doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--detay-albarakada-masraflara-son;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finansal ihtiyaçlarına çö …;;;
albaraka--detay-albarakada-masraflara-son;albaraka;kampanya_suresi;2020-01-01;0.72;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2020] - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finansal ihtiyaçlarına çözüm üretmenin tutkusuy…;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka'dan Uçuran Kampanya! Anasayfa Kampanyalar Detay Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı havayolu harcamalarında %10'u kadar, 2.000 TL' ye varan …;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;kampanya_suresi;2026-07-31;0.85;rule_heuristic;;…ması yapın, Harcamanızın %10'u kadar, 2.000 TL' ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Temmuz 2026] tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den ka…;;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;campaign_type;Yatırım Ürünü;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Katılma Hesabı'na Özel Paylaşım Oranları! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.04.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'i indirerek görüntülü gör …;;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;kampanya_suresi;2026-04-01;0.72;rule_heuristic;;… Mobil Bankacılık Aç Dijital Katılma Hesabı'na Özel Paylaşım Oranları! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.04.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'i indirerek görüntülü görüşme ile anında Albarakalı olun, avantajlı d…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş …;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 250.0}";0.82;rule_heuristic;;… kartınızla birçok ihtiyacınız için birden fazla finansman kullanımını yapabilirsiniz. Pratik Finansman Kart ile asgari [250 TL], azami 150.000 TL finansman kullanılabilmektedir. Pratik Finansman Kart başvurunuz onaylandıktan sonra, kartınızın kury…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;vade_ay;6;0.85;rule_heuristic;;…sünden fiziki kart olarak talep edebilirler. Finansman Tutarı Vade Aylık Kar Oranı 250-TL-40.000-TL (3 ay ertelemeli) 1-[6 ay] vade 0% 40.001 – 150.000 TL (3 ay ertelemeli) 1-6 ay vade 3,95% 250-TL-150.000-TL (3 ay ertelemeli) 7-12 ay vade 3,90% …;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…ile Albaraka'lı olan dijital müşterilerimize özel; vade farksız, azami 40.000 TL limitli, 3 aya varan ödemesiz dönem ve [4 taksit] imkânı ile birlikte toplam 6 aya varan vade imkanıyla sunulan Pratik Finansman Kart (Karz-ı Hasen) başvurusunda bulunab…";;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…bil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da! Beyaz eşya…;;;
albaraka--detay-eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL'ye varan Worldpuan! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Eflatun Kredi Kart ile Kozmetik Harcama …;;;
albaraka--detay-eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…latun Kredi Kart ile Kozmetik Harcamalarına 200 TL'ye varan Worldpuan! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL'ye varan Worldpuan! Eflatun kredi kartınız ile yapaca…;;;
albaraka--detay-eflatunlulara-tum-banka-atmleri-ucretsiz;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eflatun'lulara Tüm Banka ATM'leri Ücretsiz Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 14.08.2024 - 31.07.2026 Albaraka Türk Eflatun Bankacılık, kadınların hayatını kolaylaştırmaya …;;;
albaraka--detay-eflatunlulara-tum-banka-atmleri-ucretsiz;albaraka;kampanya_suresi;2024-08-14;0.72;rule_heuristic;;…a Mobil Mobil Bankacılık Aç Eflatun'lulara Tüm Banka ATM'leri Ücretsiz Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [14.08.2024] - 31.07.2026 Albaraka Türk Eflatun Bankacılık, kadınların hayatını kolaylaştırmaya devam ediyor. Eflatun Banka Kartı'na…;;;
albaraka--detay-egitim-kampanyasi-1;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 30.09.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'de Kampanyalar sayf …;;;
albaraka--detay-egitim-kampanyasi-1;albaraka;taksit_sayisi;6;0.85;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Eğitim Harcamalarınıza Vade Farksız [6 Taksit] Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 30.09.2026 Müşteri Ol Müşteri Ol Albaraka Mobi…;;;
albaraka--detay-egitim-kampanyasi-1;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 30000.0}";0.82;rule_heuristic;;…faydalanabilir. Ek Kampanya Detayları Kampanya, World özellikli bireysel kredi kartları ile tek çekim olarak yaptığınız [30.000 TL]- 500.000 TL arası eğitim harcamalarınız için geçerlidir. Kampanyaya, Business kartlar ve Master Gold Kart dahil değildi…;;;
albaraka--detay-egitim-kampanyasi-1;albaraka;kampanya_suresi;2026-07-01;0.72;rule_heuristic;;… Bankacılık Aç Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.07.2026] - 30.09.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'de Kampanyalar sayfasından kampanyaya katılım sağlayarak, World kartl…;;;
albaraka--detay-kirtasiye-kampanyasi;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kırtasiye Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.06.2026 - 30.09.2026 Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade far …;;;
albaraka--detay-kirtasiye-kampanyasi;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…01.06.2026 - 30.09.2026 Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız [4 taksit] fırsatını kaçırmayın! Kampanyaya Katılım Adımları: Albaraka Mobil üzerinden ""Kırtasiye Kampanyası"" kampanyası için ""Hem…";;;
albaraka--detay-kirtasiye-kampanyasi;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 1000.0}";0.82;rule_heuristic;;…aydalanabilir. Ek Kampanya Detayları: Kampanya, World özellikli bireysel kredi kartları ile tek çekim olarak yaptığınız [1.000 TL]- 20.000 TL arası eğitim harcamalarınız için geçerlidir. Kampanyaya, Business kartlar ve Master Gold Kart dahil değildir…;;;
albaraka--detay-kirtasiye-kampanyasi;albaraka;kampanya_suresi;2026-06-01;0.72;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Kırtasiye Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.06.2026] - 30.09.2026 Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız 4 taksit f…;;;
albaraka--detay-macrocentercomtrde-10-indirim;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Macrocenter.com.tr'de %10 İndirim! Anasayfa Kampanyalar Detay Macrocenter.com.tr'de Albaraka müşterilerine özel ayrıcalıklar sizi bekliyor. Nasıl Kullanılır? Albaraka Mobil'e giriş yapı …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;taksit_sayisi;3;0.85;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız [3 Taksit]! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergis…;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;kampanya_suresi;2026-07-01;0.72;rule_heuristic;;…aka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.07.2026] - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem ödemelerinizi, Albaraka Mobil, Alb…;;;
albaraka--detay-pocket-esimden-35-indirim;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Pocket eSIM'den %35 İndirim! Anasayfa Kampanyalar Detay Yurtdışında internetsiz kalmamanız için %35 Pocket eSIM indirimi Albaraka Mobil'de. Müşterimiz değilseniz hem masrafsız bankacılı …;;;
albaraka--detay-pocket-esimden-35-indirim;albaraka;kampanya_suresi;2025-08-01;0.85;rule_heuristic;;…na tıklayarak görüntülü görüşme ile şubeye gitmeye gerek kalmadan müşterimiz olabilirsiniz. Kampanya Detayları Kampanya [01.08.2025]-31.12.2025 tarihleri arasında geçerli olacaktır. Kampanyaya katılmak için, müşterilerimiz Albaraka Mobil'e giriş yapara…;;;
albaraka--detay-seckin-firsatlar;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;"Albaraka Mobil Mobil Bankacılık Aç Albaraka Mobil'de Şimdi ""Seçkin Fırsatlar"" Zamanı! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 28.05.2025 - 31.12.2026 Müşteri Ol Müşteri Ol ""Seçkin Fırsatlar"" ile hayatın her alan …";;;
albaraka--detay-seckin-firsatlar;albaraka;kampanya_suresi;2025-05-28;0.72;rule_heuristic;;"…Mobil Bankacılık Aç Albaraka Mobil'de Şimdi ""Seçkin Fırsatlar"" Zamanı! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [28.05.2025] - 31.12.2026 Müşteri Ol Müşteri Ol ""Seçkin Fırsatlar"" ile hayatın her alanından avantajlar sizi bekliyor! Albaraka Mobi…";;;
albaraka--detay-trendlilere-tum-banka-atmleri-ucretsiz;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Trend'lilere Tüm Banka ATM'leri Ücretsiz Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.03.2022 - 31.07.2026 Albaraka Türk Trend Bankacılık, gençlerin hayatını kolaylaştırmaya deva …;;;
albaraka--detay-trendlilere-tum-banka-atmleri-ucretsiz;albaraka;kampanya_suresi;2022-03-01;0.72;rule_heuristic;;…aka Mobil Mobil Bankacılık Aç Trend'lilere Tüm Banka ATM'leri Ücretsiz Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.03.2022] - 31.07.2026 Albaraka Türk Trend Bankacılık, gençlerin hayatını kolaylaştırmaya devam ediyor. Trend Banka Kartı'na sahi…;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;vade_ay;24312;0.10;rule_heuristic;;…fa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) [2026 yılı] 2. dönem ödemelerinizi, Albaraka Mobil, Albaraka İnternet Şubesi, Alo Albaraka (0850 222 5 666) Albaraka ATM'leri, Şube…;;;
albaraka--2026-biletcom-ucak-bileti-kampanyasi;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 700.0}";0.95;rule_heuristic;;…raka kredi kartları ile gerçekleştireceğiniz yurt içi uçak bileti alımlarında 350 TL, yurt dışı uçak bileti alımlarında [700 TL] indirim kazanın! Kampanya Başlangıç ve Bitiş Tarihi: • Kampanya 1 Mayıs 2026 - 31 Aralık 2026 tarihlerinde geçerlidir. …;;;
albaraka--2026-biletcom-ucak-bileti-kampanyasi;albaraka;kampanya_kosullari;"[""Albaraka Türk ve bilet.com önceden haber vermeksizin kampanyayı durdurma, sona erdirme, kampanya kapsamını ve koşullarını değiştirme hakkını saklı tutar.""]";0.95;rule_heuristic;;…panya kodu ile satın alınan biletlerin iptal ve iade edilmesi durumunda kampanya kodu veya indirim tutarı iade edilmez. [Albaraka Türk ve bilet.com önceden haber vermeksizin kampanyayı durdurma, sona erdirme, kampanya kapsamını ve koşullarını değiştirme hakkını saklı tutar.];;;
albaraka--2026-hizli-cicek-25-indirim-kampanyasi;albaraka;indirim_orani;25.0;0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Hızlı Çiçek %[25] İndirim Kampanyası Anasayfa Kampanyalar Detay 2026 Siz de hemen Hızlı Çiçek mobil uygulamasından sevdiklerinizi mutlu e…;;;
albaraka--2026-hizli-cicek-25-indirim-kampanyasi;albaraka;kampanya_kosullari;"[""Albaraka Türk ve Hızlı Çiçek kampanya şartlarında önceden haber vermeksizin değişiklik yapma ve kampanyayı sonlandırma hakkını saklı tutar.""]";0.95;rule_heuristic;;…siniz. Kampanya dönemi içerisinde, kampanyadan ayda bir kez faydalanabilirsiniz. Kampanya aylık 500 kod ile sınırlıdır. [Albaraka Türk ve Hızlı Çiçek kampanya şartlarında önceden haber vermeksizin değişiklik yapma ve kampanyayı sonlandırma hakkını saklı tutar.];;;
albaraka--2026-kahve-keyfiniz-albarakadan;albaraka;kampanya_kosullari;"[""Kampanya Detayları: Kampanya sadece Espressolab'ın Türkiye mağazalarında; küçük boy (12 oz) aromasız kahveler (espresso, espresso macchiato, latte, cappuccino, filtre kahve, americano, flat white, cortado), türk kahvesi, karadeniz çayı ve bitki çaylarında geçerlidir."", ""Kampanyadan yararlanabilmek için sadakat segmentinizin Elmas ya da Platin olması gerekmektedir."", ""Albaraka Türk Katılım Bankası A.Ş. kampanya şartlarında önceden haber vermeksizin değişiklik yapabilme hakkını saklı tutar.""]";0.95;rule_heuristic;;"…stererek hediye kahvenizi alın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1-30 Haziran 2026 tarihlerinde geçerlidir. [Kampanya Detayları: Kampanya sadece Espressolab'ın Türkiye mağazalarında; küçük boy (12 oz) aromasız kahveler (espresso, espresso macchiato, latte, cappuccino, filtre kahve, americano, flat white, cortado), türk kahvesi, karadeniz çayı ve bitki çaylarında geçerlidir.] Kampanyadan 30 Haziran 2026 tarihine kadar faydalanabilirsiniz. Kampanya dönemi içerisinde, kampanyadan haftada bir kez…";;;
albaraka--2026-kahve-keyfiniz-albarakadan;albaraka;hedef_kitle;"[""mevcut_musteri""]";0.95;rule_heuristic;;"…a Mobil Mobil Bankacılık Aç Kahve Keyfiniz Albaraka'dan! Anasayfa Kampanyalar Detay 2026 Espressolab'de Elmas ve Platin [müşterilerimize özel] haftada 1 kahve hediyesi! Kampanyaya Katılım Adımları: Albaraka Mobil'e giriş yapın, Kampanyalar> ""Kahve Keyfiniz Albar…";;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 2000.0}";0.95;rule_heuristic;;…harcamadan önce Albaraka Mobil'den katılım sağlamanız gerekmektedir. Bir müşterinin kazanabileceği maksimum iade tutarı [2.000 TL]'dir. Kampanya Dijital Portföy Yönetimi Müşterileri için geçerlidir. Master Gold Virtual, Mastercard Gold Standart, Busi…;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 2000.0}";0.95;rule_heuristic;;…harcamadan önce Albaraka Mobil'den katılım sağlamanız gerekmektedir. Bir müşterinin kazanabileceği maksimum iade tutarı [2.000 TL]'dir. Kampanya Dijital Portföy Yönetimi Müşterileri için geçerlidir. Master Gold Virtual, Mastercard Gold Standart, Busi…;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;indirim_orani;10.0;0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Albaraka Restoran Harcamanıza %[10] İndirim Kazandırıyor! Anasayfa Kampanyalar Detay Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağ…;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;kampanya_kosullari;"[""Kmpanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir."", ""Kampanyadan yalnızca dijital portföy yönetimi hizmeti verdiğimiz müşterilerimiz faydalanabilir."", ""Ek Kampanya Detayları Kampanyamız, 1 – 31 Temmuz 2026 tarihleri arasında yapacağınız restoran harcamaları için geçerlidir."", ""Kampanyada katılım koşulu aranacaktır."", ""Kampanyadan yararlanabilmeniz için harcamadan önce Albaraka Mobil'den katılım sağlamanız gerekmektedir."", ""Kampanya Dijital Portföy Yönetimi Müşterileri için geçerlidir."", ""Kampanyadan iade kazanılabilmesi için harcamanın \""5811-Catering Şirketleri, 5812-Yemek Yerleri ve Restoranlar, 5814-Fast Food Dükkanları'' MCC kod grubunda yapılması gerekmektedir."", ""İndirimin tanımlanabilmesi için aktif kredi kartınızın bulunması gerekmektedir.""]";0.95;rule_heuristic;;….000 TL'ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – 31 Temmuz 2026 tarihlerinde geçerlidir. [Kmpanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir.] Kampanyadan yalnızca dijital portföy yönetimi hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları K…;;;
albaraka--detay-albarakada-masraflara-son;albaraka;masraf_durumu;"{""amount"": 0.0, ""has_fee"": false}";0.95;rule_heuristic;;…31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finansal ihtiyaçlarına çözüm üretmenin tutkusuyla [masrafsız] bir bankacılık sunuyoruz. Siz de görüntülü görüşme ile hemen Albarakalı olabilir, mobil şube ve internet şube üzerinden…;;;
albaraka--detay-albarakada-masraflara-son;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 10000.0}";0.95;rule_heuristic;;… HGS Yükleme İşlemi Bağış Ödemeleri Hac-Umre Ödemeleri Vergi Ödemeleri SGK Ödemeleri Yapı Kredi Bankası ATM'leri Günlük [10.000 TL]'ye kadar para çekme 50.000 TL'ye kadar para yatırma Kredi kartı borç ödeme işlemlerine limit yok ve komisyon ödemeden ü…;;;
albaraka--detay-albarakada-masraflara-son;albaraka;kampanya_kosullari;"[""Müşteri Ol Masrafsız Hesap Albaraka Türk'te açılacak TL, Döviz veya Altın tüm cari ve katılma hesaplarından hiçbir koşul gerektirmeksizin hesap işletim ücreti tahsil edilmeyecektir."", ""İnternet ve mobil üzerinden SWIFT işleminde banka işlem ücreti alınmamakta olup, sadece kısa SWIFT masrafı (25 USD), uzun swift masrafı (40 USD) ücreti bulunmaktadır.""]";0.95;rule_heuristic;;…obil şube ve internet şube üzerinden işlemlerinizi gerçekleştirebilir, masrafsız bankacılığın keyfini çıkarabilirsiniz. [Müşteri Ol Masrafsız Hesap Albaraka Türk'te açılacak TL, Döviz veya Altın tüm cari ve katılma hesaplarından hiçbir koşul gerektirmeksizin hesap işletim ücreti tahsil edilmeyecektir.] Masrafsız Para Transferi Albaraka Mobil, İnternet Şube ve Albaraka ATM'lerinde yurt içi bankalar arası TL para birimi E…;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 2000.0}";0.95;rule_heuristic;;…n önce yapılan işlemler kampanya kapsamında değerlendirilmeyecektir. Bir müşterinin kazanabileceği maksimum iade tutarı [2.000 TL]'dir. Harcamanın iade olması durumunda hak edilen iade tutarı geri alınacaktır. Müşterinin kampanyaya katıldıktan sonrak…;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 2000.0}";0.95;rule_heuristic;;…n önce yapılan işlemler kampanya kapsamında değerlendirilmeyecektir. Bir müşterinin kazanabileceği maksimum iade tutarı [2.000 TL]'dir. Harcamanın iade olması durumunda hak edilen iade tutarı geri alınacaktır. Müşterinin kampanyaya katıldıktan sonrak…;;;
