doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
dunya-katilim--hayat-sigortalari-finansmana-bagli-ferdi-kaza-sigortasi;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--kampanyalar-ipekyol;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kampanyalar İpekyol İpekyol'da 4 Taksit Fırsatı! Dünya Katılım Paraf ile İpekyol mağazaları ve www.ipekyol.com.tr 'de Paraf POS'larından yapılacak 5.000 TL üzeri alışverişlerde 4 taksit imkanı sunulacaktır. Kamp …;;;
dunya-katilim--kampanyalar-ipekyol;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--kampanyalar-ipekyol;dunya-katilim;taksit_sayisi;4;0.85;rule_heuristic;;Anasayfa Kampanyalar İpekyol İpekyol'da [4 Taksit] Fırsatı! Dünya Katılım Paraf ile İpekyol mağazaları ve www.ipekyol.com.tr 'de Paraf POS'larından yapılacak 5.000 TL üze…;;;
dunya-katilim--kampanyalar-ipekyol;dunya-katilim;kampanya_suresi;2026-07-31;0.82;rule_heuristic;;…mamında değişiklik yapma ve/veya kampanyayı durdurma hakkını saklı tutar. Paraf Kampanyaları Devam ediyor Bitiş Tarihi: [31 Temmuz 2026] Paylaş Diğer Kampanyalar Tüm site ziyaretçilerimizi daha iyi tanımak, sitemizdeki kullanıcı deneyimini kişiselleştirmek…;;;
dunya-katilim--kendim-icin-yatirim-urunleri;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kendim Için Içerik Yatırım Ürünleri Yatırım Ürünleri Dünya Katılım, müşteri odaklı yaklaşımı ve geniş ürün yelpazesiyle birikimlerinize değer katmaktadır. Hazine Ürünleri Sermaye Piyasası Ürünleri Hazine Ürünler …;;;
dunya-katilim--kendim-icin-yatirim-urunleri;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--yatirim-sermaye-piyasasi-urunleri;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Isim Için Içerik Yatırım Sermaye Piyasası Ürünleri Sermaye Piyasası Ürünleri Sermaye Piyasası Ürünleri Kira Sertifikası Kira Sertifikası ile güvenli yatırım fırsatını Dünya Katılım ile yakalayın! Detaylı Bilgi H …;;;
dunya-katilim--yatirim-sermaye-piyasasi-urunleri;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--yatirim-urunleri-hazine-urunleri;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kendim Için Içerik Yatırım Ürünleri Hazine Ürünleri Hazine Ürünleri Hazine Ürünleri Döviz/Kıymetli Maden Alım Satımı Döviz ve kıymetli maden alım satım hizmeti, yatırımcılara uluslararası para birimleri ve kıyme …;;;
dunya-katilim--yatirim-urunleri-hazine-urunleri;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
hayat-finans--hesaplar-avantajli-gunluk-hesap;hayat-finans;campaign_type;Yatırım Ürünü;0.70;classifier;;Avantajlı Günlük Hesap Bir gün üzerinden işleyen, esnek ve avantajlı katılma hesabı ile birikimlerinizi her gün değerlemeye başlayın. Avantajlı Günlük Hesap Nedir? Hayat Finans olarak, tasarruflarınızı değerlendirmek içi …;;;
hayat-finans--hesaplar-avantajli-gunluk-hesap;hayat-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 10000.0}";0.85;rule_heuristic;;…ı Günlük Hesap Özellikleri Özellik Detay Hesap Türü 1 günlük katılma hesabı Para Birimi Sadece TL Minimum Açılış Tutarı [10.000 TL] Dereceler Altın – Gümüş – Bronz Günlük Kâr Paylaşımı Dereceye göre belirlenen oranlarla Değerleme Başlangıcı 16.00 sonr…;;;
hayat-finans--hesaplar-avantajli-gunluk-hesap;hayat-finans;odul_miktari;"{""currency"": ""TRY"", ""value"": 0.0}";0.82;rule_heuristic;;…Gümüş Altın Biriktir ya da Kullan Çalışma Büyüklüğü Ortalaması TL Cari Hesap+ Finansman 0-19.999 TL 20.000-84.999 TL 85.[000 TL] ve üzeri Talimat Ver, Kazan Otomatik Fatura Ödemesi Son 30 gün otomatik tahsilat adedi 0-1 2 3 ve üzeri Sıkça Sorulan S…;;;
hayat-finans--hesaplar-avantajli-gunluk-hesap;hayat-finans;kampanya_suresi;2026-10-08;0.72;rule_heuristic;;…aylaşım oranı* Derecenize göre avantajlı oranlarla günlük getiri elde etmenizi sağlar. *Fiyatlama kampanya bitiş tarihi [08.10.2026] olup, Hayat Finans kampanya süresi boyunca şartları değiştirme ve sonlandırma hakkını saklı tutar. ✓ Esnek ve Kolay Kul…;;;
hayat-finans--kampanyalar-bana-bunu-al-is-ortagim-ile-troy-magaza-firsatlari;hayat-finans;campaign_type;Finansman;0.70;classifier;;Bana Bunu Al İş Ortağım ile Troy Mağazalarında Finansman Fırsatı! Hayat Finanslılara özel Troy mağazalarında 3 aya varan taksit fırsatı Bana Bunu Al İş Ortağımda! Kampanya Koşulları Kampanya 31 Temmuz 2026 tarihine kadar …;;;
hayat-finans--kampanyalar-bana-bunu-al-is-ortagim-ile-troy-magaza-firsatlari;hayat-finans;vade_ay;3;0.55;rule_heuristic;;Bana Bunu Al İş Ortağım ile Troy Mağazalarında Finansman Fırsatı! Hayat Finanslılara özel Troy mağazalarında [3 aya] varan taksit fırsatı Bana Bunu Al İş Ortağımda! Kampanya Koşulları Kampanya 31 Temmuz 2026 tarihine kadar geçerlidir. K…;;;
hayat-finans--kampanyalar-biz-kart-yemek-harcamasi-nakit-iade-kampanyasi;hayat-finans;campaign_type;Yeni Müşteri;0.60;classifier;;Biz Kart ile Yemek Harcamalarına 1.000 TL'ye Varan Nakit İade! Yakınlarınıza verdiğiniz Biz Kart ile yemek sektöründe yapılan harcamaların %10'una kadar nakit iade kazanın. Kampanya kapsamında günlük en fazla 100 TL, ayl …;;;
hayat-finans--kampanyalar-biz-kart-yemek-harcamasi-nakit-iade-kampanyasi;hayat-finans;kampanya_suresi;2026-07-31;0.82;rule_heuristic;;…mında günlük en fazla 100 TL, aylık toplamda ise 1.000 TL'ye kadar nakit iade alabilirsiniz. Kampanya Dönemi: 6 Şubat - [31 Temmuz 2026] Yakınlarınız için Biz Kart Başvurusunu Nasıl Yapabilirsiniz? Mobil Uygulama Tüm İşlemler> Kartlar> Biz Kart Başvurusu a…;;;
hayat-finans--kampanyalar-hayatfinansla-islem-yaptikca-kazan;hayat-finans;campaign_type;Yeni Müşteri;0.60;classifier;;Hayat Finans'la İşlem Yaptıkça Kazan! Masraf yok, kazanç var: Hayat'la Kazan Bankacılık işlemlerinizi kazanca dönüştürün. Günlük bankacılık işlemlerinizi Hayat Finans'tan gerçekleştirin, yaptığınız işlemlerden nakit ödül …;;;
hayat-finans--kampanyalar-hayatfinansla-islem-yaptikca-kazan;hayat-finans;kampanya_suresi;2026-12-31;0.82;rule_heuristic;;…ması içerisindeki hediye alanında dilediğiniz ürün ve hizmetlerde değerlendirebilirsiniz. 📢 Kampanya Dönemi: 2 Temmuz - [31 Aralık 2026] Hayat Finans Mobil Hayat Pay Mobil Kazandıran İşlemler 💵 Hesaba Gelen Para Transferleri Başka bir banka hesabından veya…;;;
hayat-finans--kartlar-hayat-finans-banka-karti;hayat-finans;campaign_type;Kart;0.70;classifier;;Hayat Finans Banka Kartı Fiziki ve sanal alışverişlerinizin tümünü Hayat Finans Banka Kartınızdaki vadesiz hesap bakiyenizi kullanarak yapabilirsiniz. Hayat Finans Banka Kartı Para çekme, para yatırma ya da bakiye sorgul …;;;
hayat-finans--kartlar-hayat-finans-banka-karti;hayat-finans;odul_miktari;"{""currency"": ""TRY"", ""value"": 1500.0}";0.82;rule_heuristic;;…dar yapacağınız tüm işlemlerinizi Temassız Ödeme özelliğiyle şifre kullanmanıza gerek kalmadan gerçekleştirebilirsiniz. [1.500 TL] ve üzerinde olan ödemelerinizi ise temassız olarak başlattıktan sonra şifrenizi kullanarak tamamlayabilirsiniz. Temassı…;;;
hayat-finans--krediler-bana-bunu-al;hayat-finans;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Bana Bunu Al Hayat Finans ile ihtiyaçlarınızı karşılamanın tam zamanı! Bana Bunu Al Nedir? Bana Bunu Al bireysel ihtiyaçlarınızı finanse edebileceğiniz ihtiyaç finansmanı (ihtiyaç kredisi)* limitidir. Bu finansman ile mo …;;;
hayat-finans--krediler-bana-bunu-al;hayat-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 50000.0}";0.72;rule_heuristic;;…rak da sınıflandırılmaktadır. Bana Bunu Al Özellikleri Nelerdir? Sahip olabileceğiniz maksimum kredi (finansman) limiti [50.000 TL]'dir. Limit geçerlilik süresi boyunca limitinizi parçalı olarak ya da tek seferde kullanabilirsiniz. Limit geçerlilik sü…;;;
hayat-finans--krediler-bana-bunu-al;hayat-finans;vade_ay;18;0.85;rule_heuristic;;… alabilirsiniz. Fiziki işyerlerinde limitiniz dahilinde QR kod ile alışverişlerinizi kolayca yapabilir, ihtiyaçlarınızı [18 aya] kadar vadeler ile karşılayabilirsiniz. *Katılım bankacılığı, temel ilke ve faaliyetleri doğrultusunda İhtiyaca Dayalı F…;;;
hayat-finans--krediler-hayat-finans-egitim-finansmani-sistemi;hayat-finans;campaign_type;Finansman;0.70;classifier;;Eğitim Finansmanı Sistemi Eğitim Finansmanında hızlı, kolay ve avantajlı çözümler. Vade farksız, gelir belgesiz eğitim finansmanı fırsatı! Üstelik 3 ay erteleme seçeneği ile! Eğitim ihtiyaçlarınıza özel hızlı ve pratik E …;;;
hayat-finans--krediler-hayat-finans-egitim-finansmani-sistemi;hayat-finans;vade_ay;3;0.55;rule_heuristic;;…ğitim Finansmanında hızlı, kolay ve avantajlı çözümler. Vade farksız, gelir belgesiz eğitim finansmanı fırsatı! Üstelik [3 ay] erteleme seçeneği ile! Eğitim ihtiyaçlarınıza özel hızlı ve pratik Eğitim Finansmanı Sistemi Hayat Finans'ta! Şimdi her…;;;
hayat-finans--yatirim-ve-birikim-kira-sertifikasi-yatirim-ve-birikim;hayat-finans;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Kira Sertifikası Kira sertifikası (sukuk) bir varlık, proje, iş veya yatırım faaliyeti üzerinde kısmi mülkiyeti temsil eden ve faizsiz finansman ilkelerine uygun olarak ihraç edilen menkul kıymetlerdir. Bu sertifikalar, …;;;
hayat-finans--yatirim-ve-birikim-yatirimci-seviye-sistemi;hayat-finans;campaign_type;Yatırım Ürünü;0.60;classifier;;Yatırımcı Seviyesi ile Daha Fazla Avantaj Sizi Bekliyor Yatırım Yaptıkça Kazancınız Katlanır Hayat Finans'ta yatırım işlemleri sadece kazanç sağlamakla kalmaz, aynı zamanda size özel avantajların kapısını da aralar. Dövi …;;;
kuveyt-turk--alisveris-finansmanlari-alisveris-finansmani;kuveyt-turk;campaign_type;Kart;0.80;classifier;;Ana Sayfa Kendim İçin Finansmanlar Alışveriş Finansmanları Alışveriş Finansmanı CebimPOS ile Alışveriş Finansmanı İhtiyaç Kart Taksitlio Alışveriş Finansmanı Hepsiburada Alışveriş Finansmanı Trendyol Alışveriş Finansmanı …;;;
kuveyt-turk--alisveris-finansmanlari-alisveris-finansmani;kuveyt-turk;taksit_sayisi;12;0.85;rule_heuristic;;…nı 36 aya varan vade seçeneği ile rahatlıkla ödeyebilirsiniz. Cep Telefonu alışverişleriniz 20.000 TL'ye kadar en fazla [12 taksit], 20.000 TL'nin üzerinde ise en fazla 3 taksit olarak vadelendirilmektedir. Tablet alışverişleriniz maksimum 6 ay vadele…;;;
kuveyt-turk--alisveris-finansmanlari-teknosa-alisveris-finansmani;kuveyt-turk;campaign_type;Kart;0.70;classifier;;Ana Sayfa Kendim İçin Finansmanlar Alışveriş Finansmanları Teknosa Alışveriş Finansmanı CebimPOS ile Alışveriş Finansmanı İhtiyaç Kart Taksitlio Alışveriş Finansmanı Hepsiburada Alışveriş Finansmanı Trendyol Alışveriş Fi …;;;
kuveyt-turk--alisveris-finansmanlari-teknosa-alisveris-finansmani;kuveyt-turk;vade_ay;6;0.85;rule_heuristic;;…a 12 taksit, 20.000 TL'nin üzerinde ise en fazla 3 taksit olarak vadelendirilmektedir. Tablet alışverişleriniz en fazla [6 ay] vadelendirilmektedir. Bilgisayar alışverişleriniz en fazla 12 ay vadelendirilmektedir. Uygulamayı İndir QR Kodunu Okut;;;
kuveyt-turk--alisveris-finansmanlari-teknosa-alisveris-finansmani;kuveyt-turk;taksit_sayisi;12;0.85;rule_heuristic;;…l ve tarihlerini değiştirme, sonlandırma hakkını saklı tutar. Cep Telefonu alışverişleriniz 20.000 TL'ye kadar en fazla [12 taksit], 20.000 TL'nin üzerinde ise en fazla 3 taksit olarak vadelendirilmektedir. Tablet alışverişleriniz en fazla 6 ay vadele…;;;
kuveyt-turk--altin-hesaplari-ziynet-altin-katilma-hesabi;kuveyt-turk;campaign_type;Yatırım Ürünü;0.80;classifier;;Ana Sayfa Kendim İçin Altın Bankacılığı Altın Hesapları Ziynet Altın Katılma Hesabı Altın Cari Hesabı Çeyrek Altın Hesabı Altına Altın Katılma Hesabı Ziynet Altın Katılma Hesabı Birikimli Altın Katılma Hesabı Ziynet Altı …;;;
kuveyt-turk--altin-hesaplari-ziynet-altin-katilma-hesabi;kuveyt-turk;vade_ay;12;0.72;rule_heuristic;;…Hesabı aracılığıyla %55-%45 paylaşım oranlı yüksek kâr payı getirisinden faydalanabilirsiniz. Hesap açılışında 3 ay ila [1 yıl] arasında dilediğiniz vade seçeneğini tercih edebilirsiniz. Hesabınıza yalnızca açılış tarihinde altın yatırabilirsiniz.…;;;
kuveyt-turk--arac-finansmanlari-arac-finansmani;kuveyt-turk;campaign_type;Taşıt Finansmanı;0.80;classifier;;Ana Sayfa Kendim İçin Finansmanlar Araç Finansmanları Araç Finansmanı Araç Finansmanı Dijital Araç Finansmanı Dijital Motosiklet Finansmanı Motosiklet Finansmanı TOGG Finansmanı Araç Finansmanı Hayalinizdeki araca bir an …;;;
kuveyt-turk--arac-finansmanlari-arac-finansmani;kuveyt-turk;vade_ay;48;0.85;rule_heuristic;;…kullanılabilir. İkinci el araçlarda 10 yaşa kadar finansman desteğinden yararlanılabilir. 0-5 yaş araçlar için maksimum [48 ay] vadeyle finansman kullanılabilir. 6-10 yaş araçlar içinse maksimum vade süresi 36 aydır. Maksimum finansman tutarı ve v…;;;
kuveyt-turk--biz-bize-plus-finansmanlarda-size-ozel-oranlar;kuveyt-turk;campaign_type;Konut Finansmanı;0.80;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Plus Finansmanlarda Size Özel Oranlar Harcadıkça Mil Kazandıran Miles&Smiles Kredi Kartı Ücretsiz! Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı Biz Bize Plus Müşte …;;;
kuveyt-turk--biz-bize-plus-finansmanlarda-size-ozel-oranlar;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;
