doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note;protokol
kuveyt-turk--altin-hesaplari-birikimli-altin-katilma-hesabi;kuveyt-turk;campaign_type;Yatırım Ürünü;0.80;classifier;;Ana Sayfa Kendim İçin Altın Bankacılığı Altın Hesapları Birikimli Altın Katılma Hesabı Altın Cari Hesabı Çeyrek Altın Hesabı Altına Altın Katılma Hesabı Ziynet Altın Katılma Hesabı Birikimli Altın Katılma Hesabı Birikiml …;;;;v2
kuveyt-turk--altin-hesaplari-birikimli-altin-katilma-hesabi;kuveyt-turk;vade_ay;120;0.72;rule_heuristic;;"…zaman kredi kartınız üzerinden verdiğiniz talimat miktarını güncelleyebilirsiniz. Hesabınızın vadesini; asgari 3, azami [10 yıl] olarak belirleyebilirsiniz. Vade süresi içerisinde en fazla 5 defaya kadar ödeme atlayabilirsiniz. Vade süresinden önce…";;;;v2
kuveyt-turk--altin-hesaplari-ziynet-altin-katilma-hesabi;kuveyt-turk;campaign_type;Yatırım Ürünü;0.80;classifier;;Ana Sayfa Kendim İçin Altın Bankacılığı Altın Hesapları Ziynet Altın Katılma Hesabı Altın Cari Hesabı Çeyrek Altın Hesabı Altına Altın Katılma Hesabı Ziynet Altın Katılma Hesabı Birikimli Altın Katılma Hesabı Ziynet Altı …;;;;v2
kuveyt-turk--altin-hesaplari-ziynet-altin-katilma-hesabi;kuveyt-turk;vade_ay;12;0.72;rule_heuristic;;…Hesabı aracılığıyla %55-%45 paylaşım oranlı yüksek kâr payı getirisinden faydalanabilirsiniz. Hesap açılışında 3 ay ila [1 yıl] arasında dilediğiniz vade seçeneğini tercih edebilirsiniz. Hesabınıza yalnızca açılış tarihinde altın yatırabilirsiniz.…;;;;v2
kuveyt-turk--biz-bize-ozel-kur-avantajii;kuveyt-turk;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Özel Kur Avantajı Biz Bize'ye Özel 1.000 Mil Hoş Geldin Avantajı Ücretsiz HGS Etiketi Avantajı Biz Bize'ye Özel BES'te Ek Katkı Avantajı Özel Kur Avantajı Yurt Dışı Seya …;;;;v2
kuveyt-turk--biz-bize-ozel-kur-avantajii;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;;v2
kuveyt-turk--biz-bize-plus-biz-bize-plusa-ozel-2000-mil-hos-geldin-avantaji;kuveyt-turk;campaign_type;Kart;0.80;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Plus Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı Harcadıkça Mil Kazandıran Miles&Smiles Kredi Kartı Ücretsiz! Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı B …;;;;v2
kuveyt-turk--biz-bize-plus-biz-bize-plusa-ozel-2000-mil-hos-geldin-avantaji;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;;v2
kuveyt-turk--biz-bize-plus-finansmanlarda-size-ozel-oranlar;kuveyt-turk;campaign_type;Konut Finansmanı;0.80;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Plus Finansmanlarda Size Özel Oranlar Harcadıkça Mil Kazandıran Miles&Smiles Kredi Kartı Ücretsiz! Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı Biz Bize Plus Müşte …;;;;v2
kuveyt-turk--biz-bize-plus-finansmanlarda-size-ozel-oranlar;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;;v2
kuveyt-turk--biz-bize-plus-ozel-kur-avantaji;kuveyt-turk;campaign_type;Finansman;0.70;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Plus Özel Kur Avantajı Harcadıkça Mil Kazandıran Miles&Smiles Kredi Kartı Ücretsiz! Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı Biz Bize Plus Müşterilerine Özel K …;;;;v2
kuveyt-turk--biz-bize-plus-ozel-kur-avantaji;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;;v2
kuveyt-turk--biz-bize-plus-yurt-disi-cikis-harcinda-iade-avantaji;kuveyt-turk;campaign_type;Kart;0.70;classifier;;Ana Sayfa Kendim İçin Biz Bize Bankacılık Biz Bize Plus Yurt Dışı Çıkış Harcında İade Avantajı Harcadıkça Mil Kazandıran Miles&Smiles Kredi Kartı Ücretsiz! Biz Bize Plus'a Özel 2.000 Mil Hoş Geldin Avantajı Biz Bize Plus …;;;;v2
kuveyt-turk--biz-bize-plus-yurt-disi-cikis-harcinda-iade-avantaji;kuveyt-turk;vade_ay;1;0.55;rule_heuristic;;"…e Biz Bize programına dahil edilirken; cari hesap, yatırım fonu gibi ürünlerle varlık şartını karşılayan müşterilerimiz [1 ay] içerisinde dahil edilir. Biz Bize Bankacılık kapsamında sunulan avantajlar yalnızca kampanya iletişimleri alan müşteril…";;;;v2
kuveyt-turk--finansmanlar-ithalatin-finansmani;kuveyt-turk;campaign_type;Finansman;0.60;classifier;;Ana Sayfa İşim İçin Dış Ticaret Finansmanlar İthalatın Finansmanı İthalatın Finansmanı İhracatın Finansmanı İthalatın Finansmanı Avantajlı oranlarla nakit akışınızı düzenleme fırsatını İthalatın Finansmanı ürünlerini ter …;;;;v2
kuveyt-turk--ihtiyac-finansmanlari-egitim-finansmani;kuveyt-turk;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Ana Sayfa Kendim İçin Finansmanlar İhtiyaç Finansmanları Eğitim Finansmanı Hac-Umre Finansmanı Eğitim Finansmanı Seyahat Finansmanı Tekne Tüketici Finansmanı Kira Finansmanı İhtiyaç Kart Bisiklet Finansmanı Elektrikli Ar …;;;;v2
kuveyt-turk--ihtiyac-finansmanlari-hac-umre-finansmani;kuveyt-turk;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Ana Sayfa Kendim İçin Finansmanlar İhtiyaç Finansmanları Hac-Umre Finansmanı Hac-Umre Finansmanı Eğitim Finansmanı Seyahat Finansmanı Tekne Tüketici Finansmanı Kira Finansmanı İhtiyaç Kart Bisiklet Finansmanı Elektrikli …;;;;v2
kuveyt-turk--ihtiyac-finansmanlari-seyahat-finansmani;kuveyt-turk;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Ana Sayfa Kendim İçin Finansmanlar İhtiyaç Finansmanları Seyahat Finansmanı Hac-Umre Finansmanı Eğitim Finansmanı Seyahat Finansmanı Tekne Tüketici Finansmanı Kira Finansmanı İhtiyaç Kart Bisiklet Finansmanı Elektrikli A …;;;;v2
kuveyt-turk--ihtiyac-finansmanlari-tekne-tuketici-finansmani;kuveyt-turk;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Ana Sayfa Kendim İçin Finansmanlar İhtiyaç Finansmanları Tekne Tüketici Finansmanı Hac-Umre Finansmanı Eğitim Finansmanı Seyahat Finansmanı Tekne Tüketici Finansmanı Kira Finansmanı İhtiyaç Kart Bisiklet Finansmanı Elekt …;;;;v2
kuveyt-turk--kampanya-arsivi-bisiklet-finansmaninda-enerji-tasarrufu-haftasina-ozel-419-kar-o;kuveyt-turk;campaign_type;Finansman;0.70;classifier;;Ana Sayfa Kampanyalar Kampanya Arşivi Bisiklet Finansmanı'nda Enerji Tasarrufu Haftasına Özel %4.19 Kar Oranı Fırsatı! Daha yaşanılabilir bir dünya için Enerji Haftasına özel kar payı oranı Bisiklet Finansmanı'nda! Kampa …;;;;v2
kuveyt-turk--kampanya-arsivi-bisiklet-finansmaninda-enerji-tasarrufu-haftasina-ozel-419-kar-o;kuveyt-turk;kar_payi_orani;4.19;0.85;rule_heuristic;;…asında Kuveyt Türk Bisiklet Finansmanı ile elektrikli bisiklet, bisiklet veya scooter gibi doğa dostu ulaşım araçlarına [%4.19] kar payı oranı ile sahip olma fırsatını kaçırmayın! Kuveyt Türk Bisiklet Finansmanı ile kredi kartı limitiniz ve nakit …;;;;v2
kuveyt-turk--kampanya-arsivi-bisiklet-finansmaninda-enerji-tasarrufu-haftasina-ozel-419-kar-o;kuveyt-turk;finansman_tutari;"{""currency"": ""TRY"", ""value"": 13.88247}";0.50;rule_heuristic;;…n örnek ödeme planı: Aylık kar payı oranı %4,19, aylık maliyet %5,5507, yıllık maliyet %91,2198. Ödenecek toplam tutar: [13,882.47 TL]. Bu ödeme planı bilgi amaçlı olup Kuveyt Türk Katılım Bankası A.Ş.'yi hiçbir şekilde taahhüt altına sokmaz.;;;;v2
kuveyt-turk--kampanya-arsivi-bisiklet-finansmaninda-enerji-tasarrufu-haftasina-ozel-419-kar-o;kuveyt-turk;vade_ay;12;0.85;rule_heuristic;;…en başvurabilirsiniz. Kuveyt Türk Bisiklet Finansmanı hakkında daha fazla detaylı bilgi almak için tıklayabilirsiniz. **[12 ay] vadeli 10.000 TL'lik başvuru için örnek ödeme planı: Aylık kar payı oranı %4,19, aylık maliyet %5,5507, yıllık maliyet …;;;;v2
kuveyt-turk--kampanya-arsivi-bisiklet-finansmaninda-enerji-tasarrufu-haftasina-ozel-419-kar-o;kuveyt-turk;kampanya_suresi;2025-01-20;0.72;rule_heuristic;;…atı! Daha yaşanılabilir bir dünya için Enerji Haftasına özel kar payı oranı Bisiklet Finansmanı'nda! Kampanya Tarihleri [6.01.2025] - 20.01.2025 Kampanya Süresi Doldu! Kampanyayı Paylaş Facebook'da paylaş X'de paylaş LinkedIn'de paylaş Whatsapp'da pay…;;;;v2
kuveyt-turk--kampanya-arsivi-e-ihracatiniza-guc-veren-finansman;kuveyt-turk;campaign_type;Finansman;0.70;classifier;;Ana Sayfa Kampanyalar Kampanya Arşivi E-İhracatınıza Güç Veren Finansman! E-İhracatçılara özel ilk 6 ay ödemesiz, uygun oranlı ve KFK (Katılım Finans Kefalet) teminatlı e-ihracat finansmanı imkanı ile işletme sermayenizi …;;;;v2
kuveyt-turk--kampanya-arsivi-e-ihracatiniza-guc-veren-finansman;kuveyt-turk;vade_ay;18;0.85;rule_heuristic;;…teriler kampanyadan faydalanabilir. Gerçek kişiler faydalanamaz. Finansman Özellikleri İlk 6 ay ertelemeli ödeme imkanı [18 aya] varan vade seçeneği Ek bir teminata ihtiyaç yok (Katılım Finans Kefalet Teminatlı) Kampanya Koşulları Kampanyaya şubele…;;;;v2
kuveyt-turk--kampanya-arsivi-e-ihracatiniza-guc-veren-finansman;kuveyt-turk;kampanya_suresi;2026-06-30;0.72;rule_heuristic;;… (Katılım Finans Kefalet) teminatlı e-ihracat finansmanı imkanı ile işletme sermayenizi destekleyin. Kampanya Tarihleri [16.03.2026] - 30.06.2026 Kampanya Süresi Doldu! Kampanyayı Paylaş Facebook'da paylaş X'de paylaş LinkedIn'de paylaş Whatsapp'da pay…;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-arac-sarj-unitesi-finansmaninda-enerji-tasarrufu-haft;kuveyt-turk;campaign_type;Finansman;0.70;classifier;;Ana Sayfa Kampanyalar Kampanya Arşivi Elektrikli Araç Şarj Ünitesi Finansmanı'nda Enerji Tasarrufu Haftasına Özel %4.19 Kar Oranı Fırsatı! Daha yaşanılabilir bir dünya için Enerji Haftasına özel kar payı oranı Elektrikli …;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-arac-sarj-unitesi-finansmaninda-enerji-tasarrufu-haft;kuveyt-turk;kar_payi_orani;4.19;0.85;rule_heuristic;;… arasında Kuveyt Türk Elektrikli Araç Şarj Ünitesi Finansmanı ile aracınıza uygun şarj ünitesini nakit sorunu yaşamadan [%4.19] kar payı oranı ile sahip olma fırsatını kaçırmayın! Kuveyt Türk Elektrikli Araç Şarj Ünitesi Finansmanı ile kredi kartı…;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-arac-sarj-unitesi-finansmaninda-enerji-tasarrufu-haft;kuveyt-turk;finansman_tutari;"{""currency"": ""TRY"", ""value"": 13.88247}";0.50;rule_heuristic;;…n örnek ödeme planı: Aylık kar payı oranı %4,19, aylık maliyet %5,5507, yıllık maliyet %91,2198. Ödenecek toplam tutar: [13,882.47 TL]. Bu Ödeme Planı bilgi amaçlı olup Kuveyt Türk Katılım Bankası A.Ş.'yi hiçbir şekilde taahhüt altına sokmaz.;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-arac-sarj-unitesi-finansmaninda-enerji-tasarrufu-haft;kuveyt-turk;vade_ay;12;0.85;rule_heuristic;;… Kuveyt Türk Elektrikli Araç Şarj Ünitesi Finansmanı hakkında daha fazla detaylı bilgi almak için tıklayabilirsiniz . **[12 ay] vadeli 10.000 TL'lik başvuru için örnek ödeme planı: Aylık kar payı oranı %4,19, aylık maliyet %5,5507, yıllık maliyet …;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-arac-sarj-unitesi-finansmaninda-enerji-tasarrufu-haft;kuveyt-turk;kampanya_suresi;2025-01-20;0.72;rule_heuristic;;…lir bir dünya için Enerji Haftasına özel kar payı oranı Elektrikli Araç Şarj Ünitesi Finansmanı'nda! Kampanya Tarihleri [6.01.2025] - 20.01.2025 Kampanya Süresi Doldu! Kampanyayı Paylaş Facebook'da paylaş X'de paylaş LinkedIn'de paylaş Whatsapp'da pay…;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-ve-hibrit-araclar-icin-enerji-tasarrufu-haftasina-oze;kuveyt-turk;campaign_type;Taşıt Finansmanı;0.60;classifier;;Ana Sayfa Kampanyalar Kampanya Arşivi Elektrikli ve Hibrit Araçlar için Enerji Tasarrufu Haftasına Özel %3.68 Kar Oranı Fırsatı! Daha yaşanılabilir bir dünya için Enerji Haftasına özel kar payı oranı Elektrikli ve Hibrit …;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-ve-hibrit-araclar-icin-enerji-tasarrufu-haftasina-oze;kuveyt-turk;kar_payi_orani;3.68;0.85;rule_heuristic;;…e paylaş Whatsapp'da paylaş 6-20 Ocak arasında Kuveyt Türk Araç Finansmanı ile hayalizdeki elektrikli ve hibrit aracına [%3.68] kar payı oranı ile sahip olma fırsatını kaçırmayın! Kampanya kapsamında alışveriş ödemelerinizi %3.68 kar payı oranı ve…;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-ve-hibrit-araclar-icin-enerji-tasarrufu-haftasina-oze;kuveyt-turk;vade_ay;12;0.85;rule_heuristic;;… Türk Araç Finansmanı'na size en yakın şubemizde n başvurabilir, finansman işlemlerinizi hızlıca tamamlayabilirsiniz. **[12 ay] vadeli 100.000 TL'lik başvuru için örnek ödeme planı: Aylık kar payı oranı %3,68, aylık maliyet %4,8858, yıllık maliyet…;;;;v2
kuveyt-turk--kampanya-arsivi-elektrikli-ve-hibrit-araclar-icin-enerji-tasarrufu-haftasina-oze;kuveyt-turk;kampanya_suresi;2025-01-20;0.72;rule_heuristic;;…nya için Enerji Haftasına özel kar payı oranı Elektrikli ve Hibrit Araçlar için Araç Finansmanı'nda! Kampanya Tarihleri [6.01.2025] - 20.01.2025 Kampanya Süresi Doldu! Kampanyayı Paylaş Facebook'da paylaş X'de paylaş LinkedIn'de paylaş Whatsapp'da pay…;;;;v2
kuveyt-turk--kampanya-arsivi-esnaf-ve-kobilere-ozel-avantajli-arac-kredisi;kuveyt-turk;campaign_type;Finansman;0.70;classifier;;Ana Sayfa Kampanyalar Kampanya Arşivi Esnaf ve KOBİ'lere Özel Avantajlı Araç Kredisi Araç almanın tam zamanı! Esnaf ve KOBİ müşterilere özel sunduğumuz avantajlı finansman oranları ile işinize değer katacak araçlara kola …;;;;v2
kuveyt-turk--kampanya-arsivi-esnaf-ve-kobilere-ozel-avantajli-arac-kredisi;kuveyt-turk;vade_ay;24;0.85;rule_heuristic;;…syon tutarlarını, vadeyi, kampanya tarihlerini ve kampanya şartlarını değişiklik yapma hakkına sahiptir. Vade Kar Oranı [24 ay] 3.54 36 ay 3.29 48 ay 3.23 60 ay 3.23;;;;v2
kuveyt-turk--kampanya-arsivi-esnaf-ve-kobilere-ozel-avantajli-arac-kredisi;kuveyt-turk;kampanya_suresi;2025-01-03;0.72;rule_heuristic;;…umuz avantajlı finansman oranları ile işinize değer katacak araçlara kolaylıkla sahip olabilirsiniz. Kampanya Tarihleri [4.12.2024] - 3.01.2025 Kampanya Süresi Doldu! Kampanyayı Paylaş Facebook'da paylaş X'de paylaş LinkedIn'de paylaş Whatsapp'da payl…;;;;v2
